	book_id	goodreads_book_id	best_book_id	work_id	books_count	isbn	isbn13	authors	original_publication_year	original_title	title	language_code	average_rating	ratings_count	work_ratings_count	work_text_reviews_count	ratings_1	ratings_2	ratings_3	ratings_4	ratings_5	image_url	small_image_url	processed_x	asin	category	salesrank	processed_y
0	4	2657	2657	3275794	487	61120081	9780061120080.0	Harper Lee	1960.0	To Kill a Mockingbird	To Kill a Mockingbird	eng	4.25	3198671	3340896	72586	60427	117415	446835	1001952	1714267	https://images.gr-assets.com/books/1361975680m/2657.jpg	https://images.gr-assets.com/books/1361975680s/2657.jpg	tokillamockingbird	157270036X	Book	46093	tokillamockingbird
1	4	2657	2657	3275794	487	61120081	9780061120080.0	Harper Lee	1960.0	To Kill a Mockingbird	To Kill a Mockingbird	eng	4.25	3198671	3340896	72586	60427	117415	446835	1001952	1714267	https://images.gr-assets.com/books/1361975680m/2657.jpg	https://images.gr-assets.com/books/1361975680s/2657.jpg	tokillamockingbird	0060935464	Book	31155	tokillamockingbird
2	4	2657	2657	3275794	487	61120081	9780061120080.0	Harper Lee	1960.0	To Kill a Mockingbird	To Kill a Mockingbird	eng	4.25	3198671	3340896	72586	60427	117415	446835	1001952	1714267	https://images.gr-assets.com/books/1361975680m/2657.jpg	https://images.gr-assets.com/books/1361975680s/2657.jpg	tokillamockingbird	1572701900	Book	624751	tokillamockingbird
3	4	2657	2657	3275794	487	61120081	9780061120080.0	Harper Lee	1960.0	To Kill a Mockingbird	To Kill a Mockingbird	eng	4.25	3198671	3340896	72586	60427	117415	446835	1001952	1714267	https://images.gr-assets.com/books/1361975680m/2657.jpg	https://images.gr-assets.com/books/1361975680s/2657.jpg	tokillamockingbird	006017322X	Book	616634	tokillamockingbird
4	4	2657	2657	3275794	487	61120081	9780061120080.0	Harper Lee	1960.0	To Kill a Mockingbird	To Kill a Mockingbird	eng	4.25	3198671	3340896	72586	60427	117415	446835	1001952	1714267	https://images.gr-assets.com/books/1361975680m/2657.jpg	https://images.gr-assets.com/books/1361975680s/2657.jpg	tokillamockingbird	0446310786	Book	111	tokillamockingbird
5	5	4671	4671	245494	1356	743273567	9780743273560.0	F. Scott Fitzgerald	1925.0	The Great Gatsby	The Great Gatsby	eng	3.89	2683664	2773745	51992	86236	197621	606158	936012	947718	https://images.gr-assets.com/books/1490528560m/4671.jpg	https://images.gr-assets.com/books/1490528560s/4671.jpg	thegreatgatsby	0684801523	Book	956	thegreatgatsby
6	5	4671	4671	245494	1356	743273567	9780743273560.0	F. Scott Fitzgerald	1925.0	The Great Gatsby	The Great Gatsby	eng	3.89	2683664	2773745	51992	86236	197621	606158	936012	947718	https://images.gr-assets.com/books/1490528560m/4671.jpg	https://images.gr-assets.com/books/1490528560s/4671.jpg	thegreatgatsby	185326041X	Book	701273	thegreatgatsby
7	5	4671	4671	245494	1356	743273567	9780743273560.0	F. Scott Fitzgerald	1925.0	The Great Gatsby	The Great Gatsby	eng	3.89	2683664	2773745	51992	86236	197621	606158	936012	947718	https://images.gr-assets.com/books/1490528560m/4671.jpg	https://images.gr-assets.com/books/1490528560s/4671.jpg	thegreatgatsby	0030234573	Book	1416232	thegreatgatsby
8	7	5907	5907	1540236	969	618260307	9780618260300.0	J.R.R. Tolkien	1937.0	The Hobbit or There and Back Again	The Hobbit	en-US	4.25	2071616	2196809	37653	46023	76784	288649	665635	1119718	https://images.gr-assets.com/books/1372847500m/5907.jpg	https://images.gr-assets.com/books/1372847500s/5907.jpg	thehobbitorthereandbackagain	0788789821	Book	10128	thehobbit
9	7	5907	5907	1540236	969	618260307	9780618260300.0	J.R.R. Tolkien	1937.0	The Hobbit or There and Back Again	The Hobbit	en-US	4.25	2071616	2196809	37653	46023	76784	288649	665635	1119718	https://images.gr-assets.com/books/1372847500m/5907.jpg	https://images.gr-assets.com/books/1372847500s/5907.jpg	thehobbitorthereandbackagain	0395071224	Book	221806	thehobbit
10	7	5907	5907	1540236	969	618260307	9780618260300.0	J.R.R. Tolkien	1937.0	The Hobbit or There and Back Again	The Hobbit	en-US	4.25	2071616	2196809	37653	46023	76784	288649	665635	1119718	https://images.gr-assets.com/books/1372847500m/5907.jpg	https://images.gr-assets.com/books/1372847500s/5907.jpg	thehobbitorthereandbackagain	0788789562	Book	262849	thehobbit
11	7	5907	5907	1540236	969	618260307	9780618260300.0	J.R.R. Tolkien	1937.0	The Hobbit or There and Back Again	The Hobbit	en-US	4.25	2071616	2196809	37653	46023	76784	288649	665635	1119718	https://images.gr-assets.com/books/1372847500m/5907.jpg	https://images.gr-assets.com/books/1372847500s/5907.jpg	thehobbitorthereandbackagain	0618260307	Book	135591	thehobbit
12	7	5907	5907	1540236	969	618260307	9780618260300.0	J.R.R. Tolkien	1937.0	The Hobbit or There and Back Again	The Hobbit	en-US	4.25	2071616	2196809	37653	46023	76784	288649	665635	1119718	https://images.gr-assets.com/books/1372847500m/5907.jpg	https://images.gr-assets.com/books/1372847500s/5907.jpg	thehobbitorthereandbackagain	088142269X	Book	773180	thehobbit
13	7	5907	5907	1540236	969	618260307	9780618260300.0	J.R.R. Tolkien	1937.0	The Hobbit or There and Back Again	The Hobbit	en-US	4.25	2071616	2196809	37653	46023	76784	288649	665635	1119718	https://images.gr-assets.com/books/1372847500m/5907.jpg	https://images.gr-assets.com/books/1372847500s/5907.jpg	thehobbitorthereandbackagain	0345445600	Book	403717	thehobbit
14	7	5907	5907	1540236	969	618260307	9780618260300.0	J.R.R. Tolkien	1937.0	The Hobbit or There and Back Again	The Hobbit	en-US	4.25	2071616	2196809	37653	46023	76784	288649	665635	1119718	https://images.gr-assets.com/books/1372847500m/5907.jpg	https://images.gr-assets.com/books/1372847500s/5907.jpg	thehobbitorthereandbackagain	0395520215	Book	221937	thehobbit
15	8	5107	5107	3036731	360	316769177	9780316769170.0	J.D. Salinger	1951.0	The Catcher in the Rye	The Catcher in the Rye	eng	3.79	2044241	2120637	44920	109383	185520	455042	661516	709176	https://images.gr-assets.com/books/1398034300m/5107.jpg	https://images.gr-assets.com/books/1398034300s/5107.jpg	thecatcherintherye	0316769487	Book	60	thecatcherintherye
16	8	5107	5107	3036731	360	316769177	9780316769170.0	J.D. Salinger	1951.0	The Catcher in the Rye	The Catcher in the Rye	eng	3.79	2044241	2120637	44920	109383	185520	455042	661516	709176	https://images.gr-assets.com/books/1398034300m/5107.jpg	https://images.gr-assets.com/books/1398034300s/5107.jpg	thecatcherintherye	0316769177	Book	55643	thecatcherintherye
17	8	5107	5107	3036731	360	316769177	9780316769170.0	J.D. Salinger	1951.0	The Catcher in the Rye	The Catcher in the Rye	eng	3.79	2044241	2120637	44920	109383	185520	455042	661516	709176	https://images.gr-assets.com/books/1398034300m/5107.jpg	https://images.gr-assets.com/books/1398034300s/5107.jpg	thecatcherintherye	0808514032	Book	149931	thecatcherintherye
18	8	5107	5107	3036731	360	316769177	9780316769170.0	J.D. Salinger	1951.0	The Catcher in the Rye	The Catcher in the Rye	eng	3.79	2044241	2120637	44920	109383	185520	455042	661516	709176	https://images.gr-assets.com/books/1398034300m/5107.jpg	https://images.gr-assets.com/books/1398034300s/5107.jpg	thecatcherintherye	0316769533	Book	3735	thecatcherintherye
19	10	1885	1885	3060926	3455	679783261	9780679783270.0	Jane Austen	1813.0	Pride and Prejudice	Pride and Prejudice	eng	4.24	2035490	2191465	49152	54700	86485	284852	609755	1155673	https://images.gr-assets.com/books/1320399351m/1885.jpg	https://images.gr-assets.com/books/1320399351s/1885.jpg	prideandprejudice	1590861515	Book	382228	prideandprejudice
20	10	1885	1885	3060926	3455	679783261	9780679783270.0	Jane Austen	1813.0	Pride and Prejudice	Pride and Prejudice	eng	4.24	2035490	2191465	49152	54700	86485	284852	609755	1155673	https://images.gr-assets.com/books/1320399351m/1885.jpg	https://images.gr-assets.com/books/1320399351s/1885.jpg	prideandprejudice	1859980139	Book	2950132	prideandprejudice
21	10	1885	1885	3060926	3455	679783261	9780679783270.0	Jane Austen	1813.0	Pride and Prejudice	Pride and Prejudice	eng	4.24	2035490	2191465	49152	54700	86485	284852	609755	1155673	https://images.gr-assets.com/books/1320399351m/1885.jpg	https://images.gr-assets.com/books/1320399351s/1885.jpg	prideandprejudice	0553213105	Book	482	prideandprejudice
22	10	1885	1885	3060926	3455	679783261	9780679783270.0	Jane Austen	1813.0	Pride and Prejudice	Pride and Prejudice	eng	4.24	2035490	2191465	49152	54700	86485	284852	609755	1155673	https://images.gr-assets.com/books/1320399351m/1885.jpg	https://images.gr-assets.com/books/1320399351s/1885.jpg	prideandprejudice	1578155258	Book	1674728	prideandprejudice
23	10	1885	1885	3060926	3455	679783261	9780679783270.0	Jane Austen	1813.0	Pride and Prejudice	Pride and Prejudice	eng	4.24	2035490	2191465	49152	54700	86485	284852	609755	1155673	https://images.gr-assets.com/books/1320399351m/1885.jpg	https://images.gr-assets.com/books/1320399351s/1885.jpg	prideandprejudice	1578151236	Book	1695728	prideandprejudice
